"Goals","Team","Opponent","Year","GroupStage","GDP","MarketValue","FifaRank","UefaPoints","CLPlayers"
1,"Poland","Greece",2012,1,-0.692888653791751,0.0190481949706944,47,-7200,0
1,"Greece","Poland",2012,1,0.692888653791751,-0.0190481949706944,-47,7200,0
4,"Russia","Czech Republic",2012,1,-0.453278690005435,0.471423075899962,-14,18157,-1
1,"Czech Republic","Russia",2012,1,0.453278690005435,-0.471423075899962,14,-18157,1
1,"Germany","Portugal",2012,1,0.668667591278586,0.307244247696948,-7,27095,6
0,"Portugal","Germany",2012,1,-0.668667591278586,-0.307244247696948,7,-27095,-6
0,"Netherlands","Denmark",2012,1,-0.174045922545472,1.15851043024918,-5,16963,2
1,"Denmark","Netherlands",2012,1,0.174045922545472,-1.15851043024918,5,-16963,-2
1,"Spain","Italy",2012,1,-0.113985144697672,0.798857285453983,-11,35274,14
1,"Italy","Spain",2012,1,0.113985144697672,-0.798857285453983,11,-35274,-14
1,"Ireland","Croatia",2012,1,1.18982463148012,-0.763433713288117,10,-18425,-1
3,"Croatia","Ireland",2012,1,-1.18982463148012,0.763433713288117,-10,18425,1
1,"France","England",2012,1,0.131326434468436,-0.14287528820947,8,-23535,1
1,"England","France",2012,1,-0.131326434468436,0.14287528820947,-8,23535,-1
2,"Ukraine","Sweden",2012,1,-2.75552880913524,-0.134066581291298,35,25008,1
1,"Sweden","Ukraine",2012,1,2.75552880913524,0.134066581291298,-35,-25008,-1
1,"Greece","Czech Republic",2012,1,0.280847480369847,-0.189620859275566,-12,-3225,-1
2,"Czech Republic","Greece",2012,1,-0.280847480369847,0.189620859275566,12,3225,1
1,"Poland","Russia",2012,1,0.0412375165835304,-0.641995740204834,49,-28582,0
1,"Russia","Poland",2012,1,-0.0412375165835304,0.641995740204834,-49,28582,0
1,"Netherlands","Germany",2012,1,0.140789180159748,-0.505495831002643,1,-44614,-8
2,"Germany","Netherlands",2012,1,-0.140789180159748,0.505495831002643,-1,44614,8
2,"Denmark","Portugal",2012,1,0.983502693983807,-1.35676201355487,-1,-34482,-4
3,"Portugal","Denmark",2012,1,-0.983502693983807,1.35676201355487,1,34482,4
